EMPLOYER_NORM,TICKER,EXCHANGE,LISTED_NAME,MATCH_TYPE,MATCH_SCORE,TOTAL_PETITIONS
EQUIFAX INC.,EFX,NYSE,"Equifax, Inc.",search,100.0,1761
"PROKARMA, INC.",nan,nan,nan,not_traded,0.0,1756
"AUTODESK, INC.",ADSK,NASDAQ,"Autodesk, Inc.",listing,100.0,1743
THE UNIVERSITY OF IOWA,nan,nan,nan,not_traded,0.0,1737
DELL USA L.P.,DELL,NYSE,Dell Technologies Inc.,manual,100.0,1732
IQVIA INC.,IQV,NYSE,"IQVIA Holdings, Inc.",search,100.0,1730
"RANDSTAD DIGITAL, LLC",nan,nan,nan,not_traded,0.0,1729
"AKAMAI TECHNOLOGIES, INC.",AKAM,NASDAQ,"Akamai Technologies, Inc.",listing,100.0,1717
"EPITEC, INC.",nan,nan,nan,not_traded,0.0,1717
TECH MAHINDRA (AMERICAS) INC.,nan,nan,nan,not_traded,0.0,1716
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,nan,nan,nan,not_traded,0.0,1710
"INDEED, INC.",nan,nan,nan,not_traded,0.0,1686
SNOWFLAKE INC.,SNOW,NYSE,Snowflake Inc.,search,100.0,1677
"CHARLES SCHWAB & COMPANY, INC.",SCHW,NYSE,Charles Schwab Corporation (The,manual,100.0,1669
KLA CORPORATION,KLAC,NASDAQ,KLA Corporation,listing,100.0,1666
"DATABRICKS, INC.",nan,nan,nan,not_traded,0.0,1661
"NTT DATA SERVICES, LLC",nan,nan,nan,not_traded,0.0,1655
"ZILLOW, INC.",Z,NASDAQ,"Zillow Group, Inc.",listing,100.0,1653
"GILEAD SCIENCES, INC.",GILD,NASDAQ,"Gilead Sciences, Inc.",listing,100.0,1648
"QUALCOMM ATHEROS, INC.",QCOM,NASDAQ,QUALCOMM Incorporated,manual,100.0,1644
TEXAS A&M UNIVERSITY,nan,nan,nan,not_traded,0.0,1643
"TWILIO, INC.",TWLO,NYSE,Twilio Inc.,search,100.0,1642
THE OHIO STATE UNIVERSITY,nan,nan,nan,not_traded,0.0,1638
THE TRUSTEES OF PRINCETON UNIVERSITY,nan,nan,nan,not_traded,0.0,1636
"AIRBNB, INC.",ABNB,NASDAQ,"Airbnb, Inc.",listing,100.0,1626
"NORDSTROM, INC.",JWN,nan,nan,manual,100.0,1590
"BRILLIO, LLC",nan,nan,nan,not_traded,0.0,1585
THE UNIVERSITY OF TEXAS AT AUSTIN,nan,nan,nan,not_traded,0.0,1581
"VIRTUSA CONSULTING SERVICES PVT., LTD",nan,nan,nan,not_traded,0.0,1581
"INTUITIVE SURGICAL OPERATIONS, INC.",ISRG,NASDAQ,"Intuitive Surgical, Inc.",manual,100.0,1577
UNIVERSITY OF ILLINOIS,nan,nan,nan,not_traded,0.0,1575
"UNIVERSITY OF CALIFORNIA, LOS ANGELES",nan,nan,nan,not_traded,0.0,1566
BAYLOR COLLEGE OF MEDICINE,nan,nan,nan,not_traded,0.0,1553
"BOFA SECURITIES, INC.",BAC,NYSE,Bank of America Corporation,manual,100.0,1552
"LYFT, INC.",LYFT,NASDAQ,"Lyft, Inc.",listing,100.0,1523
THE PENNSYLVANIA STATE UNIVERSITY,nan,nan,nan,not_traded,0.0,1522
BIRLASOFT INC,nan,nan,nan,not_traded,0.0,1520
"SLALOM, LLC",nan,nan,nan,not_traded,0.0,1512
"INTERCONTINENTAL EXCHANGE HOLDINGS, INC.",ICE,NYSE,Intercontinental Exchange Inc.,manual,100.0,1509
BRISTOL-MYERS SQUIBB COMPANY,BMY,NYSE,Bristol-Myers Squibb Company,search,100.0,1508
THE UNIVERSITY OF TEXAS M.D. ANDERSON CANCER CENTER,nan,nan,nan,not_traded,0.0,1500
HUMANA INC.,HUM,NYSE,Humana Inc.,search,100.0,1495
AMGEN INCORPORATED,AMGN,NASDAQ,Amgen Inc.,manual,100.0,1494
"CHEWY, INC.",CHWY,NYSE,"Chewy, Inc.",search,100.0,1492
MICHIGAN STATE UNIVERSITY,nan,nan,nan,not_traded,0.0,1489
"APPLIED MATERIALS, INC",AMAT,NASDAQ,"Applied Materials, Inc.",listing,100.0,1488
FEDERAL EXPRESS CORPORATION,FDX,NYSE,FedEx Corporation,manual,100.0,1485
DB USA CORE CORPORATION,DB,NYSE,Deutsche Bank AG,manual,100.0,1484
DISCOVER PRODUCTS INC.,DFS,nan,nan,manual,100.0,1480
THE UNIVERSITY OF SOUTHERN CALIFORNIA,nan,nan,nan,not_traded,0.0,1471
LAM RESEARCH CORPORATION,LRCX,NASDAQ,Lam Research Corporation,listing,100.0,1469
DUKE UNIVERSITY,nan,nan,nan,not_traded,0.0,1457
GOVERNMENT EMPLOYEES INSURANCE COMPANY (GEICO),BRK-B,NYSE,Berkshire Hathaway Inc. New,manual,100.0,1454
UNIVERSITY OF WASHINGTON,nan,nan,nan,not_traded,0.0,1452
ERICSSON INC.,ERIC,NASDAQ,Ericsson,listing,100.0,1450
GENERAL MOTORS,GM,NYSE,General Motors Company,search,100.0,1443
SONY INTERACTIVE ENTERTAINMENT LLC,SONY,NYSE,Sony Group Corporation,manual,100.0,1441
HCL AMERICA SOLUTIONS INC,nan,nan,nan,not_traded,0.0,1439
"UNIVERSITY OF CALIFORNIA, DAVIS",nan,nan,nan,not_traded,0.0,1430
"INNOVA SOLUTIONS, INC.",nan,nan,nan,not_traded,0.0,1429
WEILL CORNELL MEDICAL COLLEGE,nan,nan,nan,not_traded,0.0,1424
"SYNOPSYS, INC.",SNPS,NASDAQ,"Synopsys, Inc.",listing,100.0,1405
TEK LEADERS INC,nan,nan,nan,not_traded,0.0,1403
"CVS PHARMACY, INC.",CVS,NYSE,CVS Health Corporation,manual,100.0,1400
"APPLIED MATERIALS, INC.",AMAT,NASDAQ,"Applied Materials, Inc.",listing,100.0,1399
"CAPITAL ONE, NATIONAL ASSOCIATION",COF,NYSE,Capital One Financial Corporati,manual,100.0,1396
"MARLABS, INC.",nan,nan,nan,not_traded,0.0,1393
"UNIVERSITY OF CALIFORNIA, BERKELEY",nan,nan,nan,not_traded,0.0,1382
NYU GROSSMAN SCHOOL OF MEDICINE,nan,nan,nan,not_traded,0.0,1376
"PHOTON INFOTECH, INC.",nan,nan,nan,not_traded,0.0,1374
BATTELLE MEMORIAL INSTITUTE,nan,nan,nan,not_traded,0.0,1367
AMAZON WEB SERVICES INC,AMZN,NASDAQ,"Amazon.com, Inc.",manual,100.0,1358
"J.B. HUNT TRANSPORT, INC.",JBHT,NASDAQ,"J.B. Hunt Transport Services, I",listing,100.0,1356
"MARVELL SEMICONDUCTOR, INC.",MRVL,NASDAQ,"Marvell Technology, Inc.",manual,100.0,1355
BRIGHAM AND WOMEN'S HOSPITAL,nan,nan,nan,not_traded,0.0,1343
SAFEWAY INC.,ACI,NYSE,"Albertsons Companies, Inc.",manual,100.0,1337
ABBVIE INC.,ABBV,NYSE,AbbVie Inc.,search,100.0,1331
"NETAPP, INC.",NTAP,NASDAQ,"NetApp, Inc.",listing,100.0,1331
TEXAS INSTRUMENTS INCORPORATED,TXN,NASDAQ,Texas Instruments Incorporated,listing,100.0,1322
CATERPILLAR INC.,CAT,NYSE,"Caterpillar, Inc.",search,100.0,1310
DELL PRODUCTS L.P.,DELL,NYSE,Dell Technologies Inc.,manual,100.0,1309
ELI LILLY AND COMPANY,LLY,NYSE,Eli Lilly and Company,search,100.0,1309
"CITIZENS FINANCIAL GROUP, INC.",CFG,NYSE,"Citizens Financial Group, Inc.",manual,100.0,1306
"PURE STORAGE, INC.",PSTG,NYSE,"Pure Storage, Inc.",search,100.0,1306
"AMAZON DATA SERVICES, INC.",AMZN,NASDAQ,"Amazon.com, Inc.",manual,100.0,1290
COMPUTER SCIENCES CORPORATION,DXC,NYSE,DXC Technology Company,manual,100.0,1284
THE CURATORS OF THE UNIVERSITY OF MISSOURI,nan,nan,nan,not_traded,0.0,1283
THE UNIVERSITY OF VIRGINIA,nan,nan,nan,not_traded,0.0,1279
"INTELLECTT, INC.",nan,nan,nan,not_traded,0.0,1276
"BEST BUY CO., INC.",BBY,NYSE,"Best Buy Co., Inc.",search,100.0,1274
UNIVERSITY OF UTAH,nan,nan,nan,not_traded,0.0,1272
"QUEST GLOBAL SERVICES- N.A., INC.",nan,nan,nan,not_traded,0.0,1265
"TWITTER, INC.",nan,nan,nan,not_traded,0.0,1263
SAVANNAH CHATHAM COUNTY PUBLIC SCHOOL SYSTEM,nan,nan,nan,not_traded,0.0,1258
"DROPBOX, INC.",DBX,NASDAQ,"Dropbox, Inc.",listing,100.0,1252
WSP USA INC.,nan,nan,nan,not_traded,0.0,1248
HP INC.,HPQ,NYSE,HP Inc.,manual,100.0,1246
NEW YORK UNIVERSITY,nan,nan,nan,not_traded,0.0,1243
CRUISE LLC,NCLH,NYSE,Norwegian Cruise Line Holdings,search,100.0,1238
"CBRE, INC.",CBRE,NYSE,CBRE Group Inc,search,100.0,1236
"NXP USA, INC.",NXPI,NASDAQ,NXP Semiconductors N.V.,manual,100.0,1230
STARBUCKS COFFEE COMPANY,SBUX,NASDAQ,Starbucks Corporation,manual,100.0,1230
"DB GLOBAL TECHNOLOGY, INC.",DB,NYSE,Deutsche Bank AG,manual,100.0,1226
"BLOCK, INC.",XYZ,NYSE,"Block, Inc.",search,100.0,1225
IDEXCEL INC,nan,nan,nan,not_traded,0.0,1225
"INTRAEDGE, INC.",nan,nan,nan,not_traded,0.0,1225
CORNELL UNIVERSITY,nan,nan,nan,not_traded,0.0,1219
SIEMENS INDUSTRY SOFTWARE INC.,nan,nan,nan,not_traded,0.0,1209
ARIZONA STATE UNIVERSITY,nan,nan,nan,not_traded,0.0,1208
THE NORTHERN TRUST COMPANY,NTRS,NASDAQ,Northern Trust Corporation,manual,100.0,1204
"BIRLASOFT SOLUTIONS, INC.",nan,nan,nan,not_traded,0.0,1202
"XILINX, INC.",AMD,NASDAQ,"Advanced Micro Devices, Inc.",manual,100.0,1197
"VALUEMOMENTUM, INC.",nan,nan,nan,not_traded,0.0,1195
"NTT DATA AMERICAS, INC.",nan,nan,nan,not_traded,0.0,1188
"ROBINHOOD MARKETS, INC.",HOOD,NASDAQ,"Robinhood Markets, Inc.",listing,100.0,1185
"PERFICIENT, INC.",nan,nan,nan,not_traded,0.0,1182
